"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bassitt, Chris","605135","2024","239",20.5,10.5,".332",".339",36.2,8,39.3,"75.710724691","94.229585494",19.3,44.3
"Gallen, Zac","668678","2024","205",26.8,6.8,".290",".304",38.5,5.9,46.7,"82.1599725","95.000238222",25.7,45.2
"Wood, Alex","622072","2024","186",17.7,10.2,".403",".390",41.1,8.5,48.8,"82.281355556","95.94021792",20.4,42.2
"Nelson, Ryne","669194","2024","163",17.2,6.1,".408",".350",38.7,7.3,43.5,"79.702032581","94.926591774",19.6,51.3
"Singer, Brady","663903","2024","234",26.1,7.3,".289",".324",36.6,8.5,41.2,"79.364734342","94.186996447",24.5,43.9
"Fried, Max","608331","2024","235",20.4,8.5,".250",".286",27.3,4.8,28.5,"71.23945878","92.540950488",24.6,45.9
"Eflin, Zach","621107","2024","246",17.9,1.6,".316",".302",30.5,7.6,41.6,"77.595418163","94.453881582",20.9,49.4
"Falter, Bailey","663559","2024","199",14.6,6.5,".274",".353",34.4,10.2,43.9,"79.236384744","94.523202",21,48.8
"Carrasco, Carlos","471911","2024","198",17.2,9.1,".368",".353",32.2,7,40.6,"80.718520282","94.52103766",22.2,45.8
"Eovaldi, Nathan","543135","2024","168",26.2,11.3,".291",".297",29.4,5.9,41.2,"78.2667338","94.1792915",31.6,48
"Stripling, Ross","548389","2024","233",13.7,5.2,".356",".328",41,3.7,33.5,"77.484185269","93.399668",18.8,49.1
"Assad, Javier","665871","2024","218",21.1,9.2,".264",".293",30.7,6.7,38,"77.790987162","93.961868503",17.2,44
"Wilson, Bryse","669060","2024","156",19.9,10.3,".298",".350",35.5,8.4,47.2,"78.956583019","94.825018491",22.1,45.8
"Stroman, Marcus","573186","2024","236",20.3,11,".320",".340",35.6,8.1,36.9,"78.279610127","94.108577722",23.6,42
"Lively, Ben","594902","2024","156",24.4,7.7,".326",".317",40.6,9.4,45.3,"83.078459231","94.877554519",22.1,46.3
"Miller, Bryce","682243","2024","230",24.3,7,".274",".325",35.4,13.3,44.9,"81.769538101","94.757966203",25.1,49.7
"Bello, Brayan","678394","2024","175",21.1,7.4,".313",".328",35.5,8.1,41.1,"75.769431774","94.46337813",24.8,46.2
"King, Michael","650633","2024","263",25.5,10.6,".317",".325",33.9,8.3,34.5,"74.742366145","93.295456242",28.2,43.5
"Webb, Logan","657277","2024","275",19.3,6.5,".299",".347",32.2,6.9,52,"79.148097525","96.19126099",17.8,43.7
"Sandoval, Patrick","663776","2024","225",23.6,8.9,".319",".304",30.5,4.6,35.8,"75.814884054","93.566306824",27.6,46.8
"Ashcraft, Graham","668933","2024","214",18.7,8.4,".326",".333",28.4,7.1,45.8,"80.759488961","94.989345584",22.1,49.5
"Wacha, Michael","608379","2024","240",19.6,7.5,".323",".306",33.5,5.8,32.4,"76.137752209","92.911364561",21.6,46.2
