"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Hays, Austin","669720","2023","566",24.9,6.7,".330",".309",31,8.9,40.1,"100.462787656","94.411352037",28.3,46.6
"India, Jonathan","663697","2023","529",20.6,9.8,".327",".339",37.2,7.7,38.6,"99.676934286","94.0396352",22,38.6
"Vaughn, Andrew","683734","2023","615",21,5.9,".321",".319",30.3,8.4,46.5,"101.661403","95.348849294",24.1,47.5
"Tatis Jr., Fernando","665487","2023","635",22.2,8.3,".332",".364",31.5,11,49.3,"102.94128633","96.024566651",30.5,54.1
"Volpe, Anthony","683011","2023","601",27.8,8.7,".290",".308",35.5,9,43,"99.54617672","93.954577957",28.1,47.9
"Bell, Josh","605137","2023","617",21.7,10.2,".323",".345",31.3,10.1,43,"101.611186796","94.955559951",25.8,47.7
"Freeman, Freddie","518692","2023","730",16.6,9.9,".411",".408",46.6,11.1,42.2,"100.590638269","94.617661541",20.4,51
"Robert Jr., Luis","673357","2023","595",28.9,5,".358",".347",38,15.4,42.3,"101.844478191","95.05043424",33.5,58.3
"Abrams, CJ","682928","2023","614",19.2,5.2,".306",".304",32.6,6.9,35.9,"98.814933243","93.426357297",22.3,53.5
"Suzuki, Seiya","673548","2023","583",22.3,10.1,".358",".357",36.5,10.5,48,"102.157061122","95.610201816",21.3,40.9
"Stephenson, Tyler","663886","2023","517",26.1,9.1,".305",".314",33.5,7.6,43.5,"100.030744788","94.357020636",28.4,42.5
"Contreras, William","661388","2023","611",20.6,10.3,".357",".335",27.1,9.4,48.7,"103.241329369","96.097846496",28,43.2
"Chapman, Matt","656305","2023","581",28.4,10.7,".328",".337",32.4,17.1,56.4,"103.539639884","96.813201603",31.1,43.3
"Reynolds, Bryan","668804","2023","640",21.6,8.3,".338",".360",36.9,11.1,47.3,"101.022834344","94.957065034",28.2,47.4
"Casas, Triston","671213","2023","502",25.1,13.9,".367",".370",36.1,13.1,46.6,"102.616692288","95.686960262",28.1,43.6
"Bohm, Alec","664761","2023","611",15.4,6.9,".329",".343",35.1,5.7,41.7,"100.435445021","94.400147213",18.1,49.8
"Paredes, Isaac","670623","2023","571",18.2,10.2,".362",".315",32.4,5.9,28.5,"96.372683866","92.205361059",18.2,45.6
"Jung, Josh","673962","2023","515",29.3,5.8,".334",".337",41.9,11.9,47.4,"101.620526098","95.373200793",29.7,51.8
"Kwan, Steven","680757","2023","718",10.4,9.7,".313",".317",37.7,1.1,18.8,"94.063409324","91.031738203",11.1,41.2
"Rosario, Eddie","592696","2023","516",23.6,6.6,".322",".317",35.9,9.5,35.4,"98.60055257","93.424315434",29.7,57.4
"Benintendi, Andrew","643217","2023","621",14.3,8.4,".299",".310",40.9,2.9,27,"95.498075212","91.757391695",19.3,49
